payment_process_pattern,payment_process,process_prefix,priority,說明,欄位定義解說
(?i)(?:連加|連支|Ｌｉｎｅ.*ｐａｙ|LINE.*PAY|ＬＰＥＰＩ|LPEPI),Line Pay,LinePay,1,連加支付&連加電子支付,Pattern：關鍵字
(?i)(?:街口|JKOPAY),街口支付,街口支付,10,街口支付,payment_process：第三方支付電子支付種類
(?i)(?:icash.*Pay|ｉｃａｓｈ.*ｐａｙ|ICP|ＩＣＰ),icash Pay,ICP,3,愛金卡支付，有票證的電子支付,priority：處理順序
(?i)(?:ＯＰ錢包|ＯＰＥＮ錢包),OPEN錢包,ＯＰ錢包,2,統一超商的第三方支付,payment_prefix：清洗完商家資料後要加的前綴詞
(?i)(?:FamiPay|ＦＡＭＩＰＡＹ),Famipay,Famipay,4,全家便利商店的第三方支付,備註：解釋說明這個正則表達的處理情境
(?i)(?:悠遊付),悠遊付,悠遊付,6,悠遊付，有票證的電子支付,(?i)代表忽略大小寫
(?i)(?:全盈支付),全盈+PAY,全盈支付,5,全盈支付，全家為主的電子支付,用|包含全形半形各種變體
(?i)(?:全支付),全支付,全支付,11,全支付，全聯為主的電子支付,Priority可設低一點做補救
(?i)(?:橘子支付|橘支|Ｇａｍａ.*ｐａｙ|Gamapay),橘子支付,橘子支付,15,遊戲橘子的電子支付,
(?i)(?:TQ|ＴＱ),台灣pay,台灣pay,9,財金公司的台灣行動支付,
(?i)(?:ＨＧＰａｙ|HGPay),HappyGOPay,HappyGOPay,26,遠東快樂卡系統的第三方支付,
(?i).*(?:ECPay|綠界).*,綠界科技,綠界,28,第三方金流系統,
(?i).*(?:Neweb|藍新).*,藍新金流,藍新,29,智冠集團的第三方金流系統,
(?i)(?:統一金流|ｐａｙ.*ｕｎｉ|pay.*uni),統一金流,統一金流,30,統一集團的第三方金流系統,
(?i)(?:ＰＸＰａｙ|PXPay),PXPay,PXPay,17,全聯的第三方支付,
(?i).*(玉山Ｗａｌｌｅｔ|玉山WALLET|玉山電子支付).*,玉山Wallet,玉山Wallet－,13,玉山Wallet，玉山銀行的電子錢包服務，可使用玉山信用卡支付,
.*(Paypal|ＰＡＹＰＡＬ).*,PayPal,PayPal,50,電商平台-PayPal,
