Pattern,Replacement,Priority,Category,Sub_Category,RFM_Exclusion,Genenral_Reward_Exclusion,備註,欄位定義解說
點數折抵.*,小樹點折抵,100,銀行費用,,TRUE,TRUE,國泰信用卡消費明細用，主要處理國泰的銀行帳單費用整理。,Pattern：關鍵字或正則表達式
國外交易手續費.*,國外交易手續費,100,銀行費用,,TRUE,TRUE,銀行費用,Replacement：(取代後名稱)
國外交易服務費.*,國外交易服務費,100,銀行費用,,TRUE,TRUE,銀行費用,Order：處理順序
(?i).*使用e point.*,玉山點折抵,100,銀行費用,,TRUE,TRUE,玉山信用卡消費明細用,備註：解釋說明這個正則表達的處理情境
自動加值－ 全家便利商店.*,悠遊卡自動加值,90,生活服務,自動加值,FALSE,TRUE,華南信用卡消費明細用,
.*悠遊卡自動加值金額.*,悠遊卡自動加值,90,生活服務,自動加值,FALSE,TRUE,玉山信用卡消費明細用,
.*(愛金卡加值).*,愛金卡加值,90,生活服務,自動加值,FALSE,TRUE,,
(?i).*youtube.*premium.*,Youtube_Premium,90,電子商務,訂閱費,FALSE,FALSE,Google Youtube_Premium服務，如果有新增youtube消費的話補上這個((?i).*youtube.*),
(?i).*(Niantic|Xsolla.*Pokemon|Pokemon.*GO).*,Pokemon GO,90,電子商務,文創娛樂,FALSE,FALSE,分離PokemonGo,
(?i).*GOOGLE.*Pokemon.*,Pokemon服務,80,電子商務,文創娛樂,FALSE,FALSE,,
.*全家便利商店.*,全家便利商店,70,便利商店,,FALSE,TRUE,.* 代表後面接任何字都算,
(?i).*統一超商.*ＯＰ.*,OP錢包－統一超商,70,便利商店,,FALSE,TRUE,名稱統一,
(?i).*(foodomo|FDM|專聯|ｆｏｏｄｏｍ|統一超商＿ＦＤＭ).*,專聯科技,70,便利商店,,FALSE,TRUE,統一集團外送服務,
(?i).*(隨時取|行動隨時取).*,統一超商_隨時取,70,便利商店,預付兌換,FALSE,TRUE,統一集團通路，統一超商_先買後兌換的服務,
(?i).*統一超商.*會員.*,統一超商_訂閱制,70,便利商店,訂閱費,FALSE,FALSE,統一集團通路，統一超商_會員訂閱,
(?i).*(雲端開).*,統一超商_雲端開心卡,70,便利商店,預付兌換,FALSE,FALSE,統一集團通路，統一超商_特殊儲值服務,
(?i).*Nintendo.*,Nintendo,70,電子商務,文創娛樂,FALSE,FALSE,任天堂eshop刷卡,
(?i).*(星巴克|Starbucks).*(儲值|隨行卡|線上|Auto Reload).*,星巴克_儲值,70,連鎖飲食,預付兌換,FALSE,FALSE,統一集團通路，主打咖啡店，優先處理儲值服務,
(?i).*(ＬＩＮＥ禮物).*,Line禮物,60,電子商務,預付兌換,FALSE,FALSE,,
(?i).*(拿坡里炸雞|三商炸雞).*,三商炸雞,60,連鎖飲食,烘焙點心,FALSE,,三商餐飲集團通路，主打炸雞,
(?i).*(家樂福|Carrefour).*(線上|Online|EC|網購|Web).*,家樂福線上/外送,60,百貨量販,,FALSE,,(注意改名)統一集團通路，主打量販超市的外送/網購附加服務,
(?i).*(聖娜|ＳＥＭＥＵＲ|SEMEUR).*,聖娜多堡,60,連鎖飲食,烘焙點心,FALSE,,統一集團通路，主打烘焙,
.*康是美.*,康是美,60,百貨量販,生活美妝,FALSE,,統一集團通路，主打藥妝,
.*安源資訊.*,ibon售票,60,電子商務,文創娛樂,FALSE,,統一集團通路，主打售票服務,
(?i).*(星巴克|Starbucks).*,星巴克,60,連鎖飲食,烘焙點心,FALSE,,統一集團通路，主打咖啡店,
(?i).*(家樂福|Carrefour).*(自助|Self|DIY).*,家樂福自助結帳,55,百貨量販,,FALSE,,(注意改名)統一集團通路，主打量販超市的自助結帳功能，來加速結帳流程,
(?i).*(統一超商股份).*,統一超商股份有限公司,50,便利商店,預付兌換,FALSE,TRUE,統一集團通路，統一超商_服務統整,
.*(真芳|真芳碳烤吐司).*,真芳碳烤吐司,50,連鎖飲食,快速主餐,FALSE,,連鎖餐飲,
.*麥當勞.*,麥當勞,50,連鎖飲食,快速主餐,FALSE,TRUE,連鎖餐飲,
.*威秀影城.*,威秀影城,50,生活服務,文創娛樂,FALSE,,電影院,
